Z,A,E,Yield,Error
-0.45,-0.55,0.2,0.035924988,8.82E-05
-0.45,-0.533333333,0.2,0.10207617,0.000175529
-0.45,-0.516666667,0.2,0.229917443,0.000251654
-0.45,-0.5,0.2,0.23810402,0.000366505
-0.45,-0.483333334,0.2,0.188464821,0.000431466
-0.45,-0.466666667,0.2,0.060302316,0.000219414
-0.45,-0.45,0.2,0.017016125,6.01E-05
-0.45,-0.433333333,0.2,0.00064261,2.24E-06
-0.45,-0.416666666,0.2,0.000241004,8.68E-07
-0.45,-0.4,0.2,5.32E-05,2.01E-07
-0.45,-0.383333333,0.2,4.60E-07,1.71E-09
-0.45,-0.366666667,0.2,1.57E-08,7.84E-11
-0.45,-0.35,0.2,3.23E-09,1.62E-11
-0.45,-0.333333333,0.2,6.39E-12,3.20E-14
-0.45,-0.316666667,0.2,0,0
-0.45,-0.3,0.2,0,0
-0.4125,-0.65,0.2,0,0
-0.4125,-0.633333333,0.2,6.35E-13,3.18E-15
-0.4125,-0.616666667,0.2,7.67E-11,3.30E-13
-0.4125,-0.6,0.2,4.93E-09,1.70E-11
-0.4125,-0.583333333,0.2,2.15E-06,7.07E-09
-0.4125,-0.566666667,0.2,4.00E-05,1.79E-07
-0.4125,-0.55,0.2,0.000422845,1.38E-06
-0.4125,-0.533333333,0.2,0.019504045,5.66E-05
-0.4125,-0.516666667,0.2,0.060885439,0.000141422
-0.4125,-0.5,0.2,0.276300015,0.000331529
-0.4125,-0.483333334,0.2,0.506972206,0.000372597
-0.4125,-0.466666667,0.2,0.685857841,0.000310987
-0.4125,-0.45,0.2,0.493871893,0.000542243
-0.4125,-0.433333333,0.2,0.254493849,0.000545778
-0.4125,-0.416666666,0.2,0.059210618,0.00020071
-0.4125,-0.4,0.2,0.017724798,6.64E-05
-0.4125,-0.383333333,0.2,0.001372894,5.10E-06
-0.4125,-0.366666667,0.2,0.000159538,5.76E-07
-0.4125,-0.35,0.2,2.58E-05,9.05E-08
-0.4125,-0.333333333,0.2,6.96E-07,2.44E-09
-0.4125,-0.316666667,0.2,1.35E-09,6.73E-12
-0.4125,-0.3,0.2,6.53E-11,3.26E-13
-0.4125,-0.283333333,0.2,7.01E-12,3.51E-14
-0.4125,-0.266666667,0.2,0,0
-0.375,-0.616666667,0.2,0,0
-0.375,-0.6,0.2,0,0
-0.375,-0.583333333,0.2,1.61E-10,8.01E-13
-0.375,-0.566666667,0.2,3.86E-10,1.54E-12
-0.375,-0.55,0.2,5.74E-07,2.25E-09
-0.375,-0.533333333,0.2,5.73E-07,1.44E-09
-0.375,-0.516666667,0.2,0.007025381,2.49E-05
-0.375,-0.5,0.2,0.005021287,1.91E-05
-0.375,-0.483333334,0.2,0.030505132,0.00010919
-0.375,-0.466666667,0.2,0.135401662,0.000290797
-0.375,-0.45,0.2,0.349266921,0.000542133
-0.375,-0.433333333,0.2,0.516900355,0.000592419
-0.375,-0.416666666,0.2,0.598594266,0.000539142
-0.375,-0.4,0.2,0.287626023,0.000580028
-0.375,-0.383333333,0.2,0.119680838,0.000371865
-0.375,-0.366666667,0.2,0.023473576,8.29E-05
-0.375,-0.35,0.2,0.006600367,2.30E-05
-0.375,-0.333333333,0.2,0.000412282,1.02E-06
-0.375,-0.316666667,0.2,4.52E-05,1.63E-07
-0.375,-0.3,0.2,8.42E-07,3.20E-09
-0.375,-0.283333333,0.2,3.24E-07,1.62E-09
-0.375,-0.266666667,0.2,2.39E-09,1.20E-11
-0.375,-0.25,0.2,4.80E-12,2.41E-14
-0.375,-0.233333333,0.2,0,0
-0.375,-0.216666667,0.2,0,0
-0.3375,-0.583333333,0.2,0,0
-0.3375,-0.566666667,0.2,0,0
-0.3375,-0.55,0.2,1.98E-11,8.23E-14
-0.3375,-0.533333333,0.2,1.04E-09,5.22E-12
-0.3375,-0.516666667,0.2,1.60E-06,4.89E-09
-0.3375,-0.5,0.2,0.000148216,5.72E-07
-0.3375,-0.483333334,0.2,0.001577362,6.13E-06
-0.3375,-0.466666667,0.2,0.010678748,3.97E-05
-0.3375,-0.45,0.2,0.039698775,0.000126814
-0.3375,-0.433333333,0.2,0.143181265,0.000332347
-0.3375,-0.416666666,0.2,0.304607854,0.000500219
-0.3375,-0.4,0.2,0.645852025,0.000515181
-0.3375,-0.383333333,0.2,0.686412785,0.000497471
-0.3375,-0.366666667,0.2,0.596972206,0.000531271
-0.3375,-0.35,0.2,0.253378095,0.000459098
-0.3375,-0.333333333,0.2,0.106074435,0.000305674
-0.3375,-0.316666667,0.2,0.015693046,5.49E-05
-0.3375,-0.3,0.2,0.002327255,8.78E-06
-0.3375,-0.283333333,0.2,0.00070334,2.58E-06
-0.3375,-0.266666667,0.2,3.49E-05,1.25E-07
-0.3375,-0.25,0.2,1.85E-07,6.69E-10
-0.3375,-0.233333333,0.2,2.41E-08,1.21E-10
-0.3375,-0.216666667,0.2,0,0
-0.3375,-0.2,0.2,0,0
-0.3375,-0.183333333,0.2,0,0
-0.3,-0.533333333,0.2,0,0
-0.3,-0.516666667,0.2,0,0
-0.3,-0.5,0.2,2.78E-09,1.39E-11
-0.3,-0.483333334,0.2,2.76E-07,1.02E-09
-0.3,-0.466666667,0.2,4.19E-06,1.13E-08
-0.3,-0.45,0.2,2.92E-05,8.25E-08
-0.3,-0.433333333,0.2,0.014675883,5.09E-05
-0.3,-0.416666666,0.2,0.017413447,4.66E-05
-0.3,-0.4,0.2,0.047701436,0.000171707
-0.3,-0.383333333,0.2,0.174481291,0.000455021
-0.3,-0.366666667,0.2,0.307785949,0.000536392
-0.3,-0.35,0.2,0.512588656,0.000518295
-0.3,-0.333333333,0.2,0.396475547,0.000536693
-0.3,-0.316666667,0.2,0.299113233,0.000540573
-0.3,-0.3,0.2,0.086834842,0.000254345
-0.3,-0.283333333,0.2,0.030908307,0.000106018
-0.3,-0.266666667,0.2,0.012015033,3.91E-05
-0.3,-0.25,0.2,0.000359023,1.29E-06
-0.3,-0.233333333,0.2,4.40E-05,1.65E-07
-0.3,-0.216666667,0.2,2.33E-10,9.53E-13
-0.3,-0.2,0.2,1.67E-12,8.35E-15
-0.3,-0.183333333,0.2,3.81E-18,1.91E-20
-0.3,-0.166666667,0.2,5.81E-24,2.90E-26
-0.3,-0.15,0.2,4.29E-12,2.15E-14
-0.2625,-0.5,0.2,0,0
-0.2625,-0.483333334,0.2,0,0
-0.2625,-0.466666667,0.2,4.28E-10,1.78E-12
-0.2625,-0.45,0.2,1.26E-09,6.32E-12
-0.2625,-0.433333333,0.2,5.35E-06,1.86E-08
-0.2625,-0.416666666,0.2,5.54E-05,2.00E-07
-0.2625,-0.4,0.2,0.000609175,2.30E-06
-0.2625,-0.383333333,0.2,0.022354655,8.19E-05
-0.2625,-0.366666667,0.2,0.050637094,0.000168368
-0.2625,-0.35,0.2,0.14514642,0.000372471
-0.2625,-0.333333333,0.2,0.380586186,0.00050763
-0.2625,-0.316666667,0.2,0.566987647,0.000535372
-0.2625,-0.3,0.2,0.771807247,0.000330957
-0.2625,-0.283333333,0.2,0.442226774,0.000485111
-0.2625,-0.266666667,0.2,0.253908796,0.000372115
-0.2625,-0.25,0.2,0.063095208,0.000180232
-0.2625,-0.233333333,0.2,0.016610788,5.74E-05
-0.2625,-0.216666667,0.2,0.006364944,2.54E-05
-0.2625,-0.2,0.2,2.98E-06,1.37E-08
-0.2625,-0.183333333,0.2,4.74E-09,1.88E-11
-0.2625,-0.166666667,0.2,7.49E-13,2.84E-15
-0.2625,-0.15,0.2,1.14E-07,5.68E-10
-0.2625,-0.133333333,0.2,1.24E-09,6.19E-12
-0.2625,-0.116666667,0.2,1.06E-13,5.28E-16
-0.2625,-0.1,0.2,2.02E-14,1.01E-16
-0.225,-0.466666667,0.2,0,0
-0.225,-0.45,0.2,0,0
-0.225,-0.433333333,0.2,7.40E-09,3.69E-11
-0.225,-0.416666666,0.2,7.07E-09,2.95E-11
-0.225,-0.4,0.2,1.07E-07,3.84E-10
-0.225,-0.383333333,0.2,7.70E-07,2.75E-09
-0.225,-0.366666667,0.2,8.82E-05,3.19E-07
-0.225,-0.35,0.2,0.008405922,2.51E-05
-0.225,-0.333333333,0.2,0.010612164,2.70E-05
-0.225,-0.316666667,0.2,0.058756826,0.000173744
-0.225,-0.3,0.2,0.096004679,0.000235974
-0.225,-0.283333333,0.2,0.292287302,0.000489275
-0.225,-0.266666667,0.2,0.27035009,0.000361458
-0.225,-0.25,0.2,0.204855268,0.000267402
-0.225,-0.233333333,0.2,0.07644791,0.000147679
-0.225,-0.216666667,0.2,0.023784662,6.33E-05
-0.225,-0.2,0.2,0.003744305,1.47E-05
-0.225,-0.183333333,0.2,0.000421999,1.60E-06
-0.225,-0.166666667,0.2,4.14E-06,1.55E-08
-0.225,-0.15,0.2,0.000108864,3.95E-07
-0.225,-0.133333333,0.2,2.15E-06,7.94E-09
-0.225,-0.116666667,0.2,6.11E-09,3.06E-11
-0.225,-0.1,0.2,5.54E-10,2.76E-12
-0.225,-0.083333333,0.2,3.01E-12,1.51E-14
-0.225,-0.066666667,0.2,1.61E-15,8.04E-18
-0.225,-0.05,0.2,0,0
-0.1875,-0.433333333,0.2,0,0
-0.1875,-0.416666666,0.2,0,0
-0.1875,-0.4,0.2,0,0
-0.1875,-0.383333333,0.2,6.92E-12,3.46E-14
-0.1875,-0.366666667,0.2,2.32E-07,1.16E-09
-0.1875,-0.35,0.2,1.20E-06,4.22E-09
-0.1875,-0.333333333,0.2,3.02E-05,1.06E-07
-0.1875,-0.316666667,0.2,0.002837167,1.03E-05
-0.1875,-0.3,0.2,0.014810529,5.68E-05
-0.1875,-0.283333333,0.2,0.032683401,0.000120345
-0.1875,-0.266666667,0.2,0.125190236,0.000335327
-0.1875,-0.25,0.2,0.186400072,0.000292539
-0.1875,-0.233333333,0.2,0.184507643,0.000157595
-0.1875,-0.216666667,0.2,0.11059301,7.07E-05
-0.1875,-0.2,0.2,0.052639014,2.37E-05
-0.1875,-0.183333333,0.2,0.018778975,9.41E-06
-0.1875,-0.166666667,0.2,0.004281653,6.29E-06
-0.1875,-0.15,0.2,0.002426246,4.15E-06
-0.1875,-0.133333333,0.2,0.000635513,2.12E-06
-0.1875,-0.116666667,0.2,1.19E-05,4.20E-08
-0.1875,-0.1,0.2,2.35E-06,8.71E-09
-0.1875,-0.083333333,0.2,6.16E-08,2.24E-10
-0.1875,-0.066666667,0.2,3.75E-10,1.88E-12
-0.1875,-0.05,0.2,1.73E-13,8.68E-16
-0.1875,-0.033333333,0.2,0,0
-0.1875,-0.016666667,0.2,3.18E-15,1.59E-17
-0.15,-0.383333333,0.2,0,0
-0.15,-0.366666667,0.2,0,0
-0.15,-0.35,0.2,0,0
-0.15,-0.333333333,0.2,1.11E-09,5.57E-12
-0.15,-0.316666667,0.2,5.53E-07,2.52E-09
-0.15,-0.3,0.2,4.06E-06,1.54E-08
-0.15,-0.283333333,0.2,4.06E-05,1.49E-07
-0.15,-0.266666667,0.2,0.002356837,7.42E-06
-0.15,-0.25,0.2,0.013347684,4.94E-05
-0.15,-0.233333333,0.2,0.012729153,4.85E-05
-0.15,-0.216666667,0.2,0.00815868,2.98E-05
-0.15,-0.2,0.2,0.005622689,1.98E-05
-0.15,-0.183333333,0.2,0.003375994,7.11E-06
-0.15,-0.166666667,0.2,0.004059967,5.87E-06
-0.15,-0.15,0.2,0.002156086,3.55E-06
-0.15,-0.133333333,0.2,0.001738711,2.92E-06
-0.15,-0.116666667,0.2,0.000532227,1.37E-06
-0.15,-0.1,0.2,0.000139433,4.90E-07
-0.15,-0.083333333,0.2,4.30E-05,1.55E-07
-0.15,-0.066666667,0.2,1.09E-06,3.86E-09
-0.15,-0.05,0.2,8.85E-09,3.27E-11
-0.15,-0.033333333,0.2,3.75E-09,1.88E-11
-0.15,-0.016666667,0.2,3.21E-10,1.61E-12
-0.15,-2.22E-16,0.2,6.07E-14,3.03E-16
-0.15,0.016666667,0.2,9.34E-17,4.66E-19
-0.15,0.033333333,0.2,0,0
-0.1125,-0.333333333,0.2,0,0
-0.1125,-0.316666667,0.2,0,0
-0.1125,-0.3,0.2,4.63E-06,2.32E-08
-0.1125,-0.283333333,0.2,5.84E-09,2.92E-11
-0.1125,-0.266666667,0.2,1.18E-06,4.26E-09
-0.1125,-0.25,0.2,4.04E-05,1.05E-07
-0.1125,-0.233333333,0.2,0.000114844,4.70E-07
-0.1125,-0.216666667,0.2,3.67E-06,1.82E-08
-0.1125,-0.2,0.2,6.08E-06,4.85E-08
-0.1125,-0.183333333,0.2,8.97E-07,4.88E-09
-0.1125,-0.166666667,0.2,1.33E-05,5.67E-08
-0.1125,-0.15,0.2,0.000130076,3.87E-07
-0.1125,-0.133333333,0.2,0.001534177,2.46E-06
