A_physical,E_group,Yield_physical
142.0,3.000 MeV,5.520000002020001
143.00000002000002,0.000 MeV,19.65700261403708
143.00000002000002,0.525 MeV,5.731160630268616
143.00000002000002,14.000 MeV,3.8361033265968905
143.00000002000002,3.000 MeV,4.790000000767334
143.99999998,0.000 MeV,14.900707382768607
143.99999998,0.525 MeV,5.2686493808680686
143.99999998,14.000 MeV,3.1861527475577325
143.99999998,3.000 MeV,5.239999998257001
145.00000000000003,0.000 MeV,11.784179511242321
145.00000000000003,0.525 MeV,3.7756982220673723
145.00000000000003,14.000 MeV,2.7237216484041604
146.00000002000002,0.000 MeV,5.097517666862526
146.00000002000002,0.525 MeV,2.9213471828460724
146.00000002000002,14.000 MeV,2.208319131256211
146.99999998,0.000 MeV,3.847188720231572
146.99999998,0.525 MeV,2.1388688077169324
146.99999998,14.000 MeV,1.629923394932017
148.0,0.000 MeV,1.6738858865318662
148.0,0.525 MeV,1.6834277347346778
148.0,14.000 MeV,1.2025225923159581
149.00000002000002,0.000 MeV,1.0818510826388519
149.00000002000002,0.525 MeV,1.0369639831626662
149.00000002000002,14.000 MeV,0.8168667388497296
149.99999998,0.000 MeV,0.6534433379464681
149.99999998,0.525 MeV,0.685829848968755
149.99999998,14.000 MeV,0.5139582781490674
151.0,0.000 MeV,0.49424719668790895
151.0,0.525 MeV,0.4119873800642102
151.0,14.000 MeV,0.35562796653793327
152.00000002,0.000 MeV,0.2669680805586303
152.00000002,0.525 MeV,0.2708538921856715
152.00000002,14.000 MeV,0.2586741958726677
152.99999998,0.000 MeV,0.12662893552974258
152.99999998,0.525 MeV,0.16705445951674153
152.99999998,14.000 MeV,0.20356716464590943
154.00000000000003,0.000 MeV,0.0744491692825591
154.00000000000003,0.525 MeV,0.07231807253749226
154.00000000000003,14.000 MeV,0.12748949087859215
155.00000002000002,0.000 MeV,0.032142580300323804
155.00000002000002,0.525 MeV,0.03947146962512161
155.00000002000002,14.000 MeV,0.07904538779227434
155.99999998,0.000 MeV,0.01485602994718656
155.99999998,0.525 MeV,0.020258626302429476
155.99999998,14.000 MeV,0.05813177310547668
157.0,0.000 MeV,0.006151444897421453
157.0,0.525 MeV,0.010582859219147025
157.0,14.000 MeV,0.037859228034484785
158.00000002000002,0.000 MeV,0.0032865053055252218
158.00000002000002,0.525 MeV,0.006493370700501701
158.00000002000002,14.000 MeV,0.023565344324613994
158.99999998,0.000 MeV,0.0010092676547734478
158.99999998,0.525 MeV,0.0030074019897823544
158.99999998,14.000 MeV,0.012173799123096336
160.00000000000003,0.000 MeV,0.0003189363239725184
160.00000000000003,0.525 MeV,0.0011319791187177717
160.00000000000003,14.000 MeV,0.007237414841716167
161.00000002000002,0.000 MeV,8.53359619750488e-05
161.00000002000002,0.525 MeV,0.00033280076980866
161.00000002000002,14.000 MeV,0.005282946673919148
161.99999998,0.000 MeV,1.5954747377103297e-05
161.99999998,0.525 MeV,5.770495074605752e-05
161.99999998,14.000 MeV,0.0027932618104435335
163.0,0.000 MeV,6.111284483667567e-06
163.0,0.525 MeV,9.618737081655949e-06
163.0,14.000 MeV,0.0015906931543518662
164.00000002000002,0.000 MeV,1.8869985638596667e-06
164.00000002000002,0.525 MeV,5.771169043915167e-06
164.00000002000002,14.000 MeV,0.0009800075678133334
164.99999998,0.000 MeV,9.518397526877002e-07
164.99999998,0.525 MeV,2.3143524039080003e-06
164.99999998,14.000 MeV,0.0005398305722865633
166.0,0.000 MeV,3.631696873972389e-07
166.0,0.525 MeV,9.620962521606405e-07
166.0,14.000 MeV,0.0002812302909435273
167.00000002,0.000 MeV,2.475406322356267e-07
167.00000002,0.525 MeV,3.8541367335610005e-07
167.00000002,14.000 MeV,0.00018632287904332337
167.99999998,0.000 MeV,5.7031634023000015e-08
167.99999998,0.525 MeV,9.622807879024301e-08
167.99999998,14.000 MeV,0.00010212824393045467
169.00000000000003,0.000 MeV,2.383518296830667e-08
169.00000000000003,0.525 MeV,5.7738653001520004e-08
169.00000000000003,14.000 MeV,7.836925789930668e-05
170.00000002000002,0.000 MeV,5.010501472320234e-09
170.00000002000002,0.525 MeV,1.9158465487696667e-08
170.00000002000002,14.000 MeV,3.2664437466025005e-05
170.99999998,0.000 MeV,2.3500256452308536e-09
170.99999998,0.525 MeV,6.730519702166668e-09
170.99999998,14.000 MeV,1.772610578936667e-05
172.0,0.000 MeV,7.683551463510002e-10
172.0,0.525 MeV,1.9201672500962002e-09
172.0,14.000 MeV,1.6606590035663337e-05
