Z,A,E,Yield,Error,Z_physical,A_physical,E_physical,Yield_physical,Error_physical,E_group
-0.675,-0.633333333,0.2,5.77e-09,1.79e-11,29.0,80.00000002000002,2.5300000659831888e-08,3.736844333333334e-08,1.1592636666666668e-10,0.000 MeV
-0.675,-0.616666667,0.2,0.0,0.0,29.0,80.99999998,2.5300000659831888e-08,0.0,0.0,0.000 MeV
-0.675,-0.6,0.2,8.29e-11,4.15e-13,29.0,82.0,2.5300000659831888e-08,5.368880333333335e-10,2.6876783333333337e-12,0.000 MeV
-0.675,-0.583333333,0.2,4.51e-14,2.25e-16,29.0,83.00000002,2.5300000659831888e-08,2.9208263333333334e-13,1.4571750000000003e-15,0.000 MeV
-0.675,-0.566666667,0.2,0.0,0.0,29.0,83.99999998000001,2.5300000659831888e-08,0.0,0.0,0.000 MeV
-0.6375,-0.866666667,0.2,3.51e-16,1.74e-18,30.0,65.99999998,2.5300000659831888e-08,2.273193e-15,1.126882e-17,0.000 MeV
-0.6375,-0.85,0.2,8.86e-14,4.43e-16,30.0,67.0,2.5300000659831888e-08,5.738031333333334e-13,2.869015666666667e-15,0.000 MeV
-0.6375,-0.833333333,0.2,3.91e-12,1.95e-14,30.0,68.00000002,2.5300000659831888e-08,2.5322463333333336e-11,1.262885e-13,0.000 MeV
-0.6375,-0.816666666,0.2,2.07e-10,1.61e-12,30.0,69.00000004,2.5300000659831888e-08,1.3406010000000002e-09,1.0426896666666668e-11,0.000 MeV
-0.6375,-0.8,0.2,5.93e-09,6.33e-11,30.0,70.0,2.5300000659831888e-08,3.840465666666667e-08,4.0995190000000005e-10,0.000 MeV
-0.6375,-0.783333333,0.2,2.44e-08,2.19e-10,30.0,71.00000002000002,2.5300000659831888e-08,1.5802253333333336e-07,1.4183170000000002e-09,0.000 MeV
-0.6375,-0.766666667,0.2,7.58e-07,7.38e-09,30.0,71.99999998000001,2.5300000659831888e-08,4.909060666666667e-06,4.779534e-08,0.000 MeV
-0.6375,-0.75,0.2,2.06e-06,4.83e-09,30.0,73.00000000000001,2.5300000659831888e-08,1.3341246666666669e-05,3.128069e-08,0.000 MeV
-0.6375,-0.733333333,0.2,4.7e-05,6.9e-08,30.0,74.00000002,2.5300000659831888e-08,0.0003043876666666667,4.4686700000000005e-07,0.000 MeV
-0.6375,-0.716666667,0.2,0.000136644,1.47e-07,30.0,74.99999998,2.5300000659831888e-08,0.0008849520920000001,9.520210000000001e-07,0.000 MeV
-0.6375,-0.7,0.2,0.000408408,3.77e-07,30.0,76.00000000000001,2.5300000659831888e-08,0.0026449863440000006,2.441577666666667e-06,0.000 MeV
-0.6375,-0.683333333,0.2,0.000419583,9.28e-07,30.0,77.00000002000002,2.5300000659831888e-08,0.0027173593690000006,6.010037333333334e-06,0.000 MeV
-0.6375,-0.666666667,0.2,0.000526346,1.39e-06,30.0,77.99999998000001,2.5300000659831888e-08,0.003408792144666667,9.002103333333334e-06,0.000 MeV
-0.6375,-0.65,0.2,9.29e-05,3e-07,30.0,79.00000000000001,2.5300000659831888e-08,0.0006016513666666667,1.9429e-06,0.000 MeV
-0.6375,-0.633333333,0.2,5.38e-05,1.66e-07,30.0,80.00000002000002,2.5300000659831888e-08,0.0003484267333333334,1.0750713333333335e-06,0.000 MeV
-0.6375,-0.616666667,0.2,3.19e-06,1.05e-08,30.0,80.99999998,2.5300000659831888e-08,2.0659503333333336e-05,6.80015e-08,0.000 MeV
-0.6375,-0.6,0.2,1.39e-06,4.79e-09,30.0,82.0,2.5300000659831888e-08,9.002103333333334e-06,3.102163666666667e-08,0.000 MeV
-0.6375,-0.583333333,0.2,5.64e-09,2.81e-11,30.0,83.00000002,2.5300000659831888e-08,3.6526520000000006e-08,1.819849666666667e-10,0.000 MeV
-0.6375,-0.566666667,0.2,4.25e-10,2.13e-12,30.0,83.99999998000001,2.5300000659831888e-08,2.7524416666666667e-09,1.3794590000000002e-11,0.000 MeV
-0.6375,-0.55,0.2,1.03e-11,5.14e-14,30.0,85.0,2.5300000659831888e-08,6.670623333333334e-11,3.328835333333334e-13,0.000 MeV
-0.6375,-0.533333333,0.2,5.56e-17,2.78e-19,30.0,86.00000002000002,2.5300000659831888e-08,3.600841333333334e-16,1.8004206666666668e-18,0.000 MeV
-0.6,-0.85,0.2,0.0,0.0,31.000000000000004,67.0,2.5300000659831888e-08,0.0,0.0,0.000 MeV
-0.6,-0.833333333,0.2,0.0,0.0,31.000000000000004,68.00000002,2.5300000659831888e-08,0.0,0.0,0.000 MeV
-0.6,-0.816666666,0.2,6.27e-14,3.13e-16,31.000000000000004,69.00000004,2.5300000659831888e-08,4.060661000000001e-13,2.0270923333333337e-15,0.000 MeV
-0.6,-0.8,0.2,4.15e-12,2.08e-14,31.000000000000004,70.0,2.5300000659831888e-08,2.6876783333333336e-11,1.3470773333333335e-13,0.000 MeV
-0.6,-0.783333333,0.2,9.76e-11,1.03e-12,31.000000000000004,71.00000002000002,2.5300000659831888e-08,6.320901333333334e-10,6.670623333333334e-12,0.000 MeV
-0.6,-0.766666667,0.2,5.91e-09,5.67e-11,31.000000000000004,71.99999998000001,2.5300000659831888e-08,3.8275130000000005e-08,3.6720810000000003e-10,0.000 MeV
-0.6,-0.75,0.2,2.1e-07,8.55e-10,31.000000000000004,73.00000000000001,2.5300000659831888e-08,1.36003e-06,5.537265000000001e-09,0.000 MeV
-0.6,-0.733333333,0.2,1.02e-06,3.21e-09,31.000000000000004,74.00000002,2.5300000659831888e-08,6.60586e-06,2.078903e-08,0.000 MeV
-0.6,-0.716666667,0.2,1.38e-05,4.24e-08,31.000000000000004,74.99999998,2.5300000659831888e-08,8.937340000000001e-05,2.7459653333333336e-07,0.000 MeV
