Z_physical,E_physical,Yield_pred
52.0,7.0,15.419417
52.0,8.0,15.463261
52.0,9.0,15.586605
52.0,10.0,15.720495
52.0,11.0,15.689462
52.0,12.0,15.331381
52.0,13.0,14.538388
52.0,14.0,13.405218
53.0,0.0,12.239674
53.0,1.0,13.021143
53.0,2.0,13.58931
53.0,3.0,13.957725
53.0,4.0,14.092291
53.0,5.0,14.053604
53.0,6.0,13.9535265
53.0,7.0,13.8838415
53.0,8.0,13.8733635
53.0,9.0,13.895796
53.0,10.0,13.869441
53.0,11.0,13.713752
53.0,12.0,13.421481
53.0,13.0,12.999772
53.0,14.0,12.419248
54.0,0.0,16.717583
54.0,1.0,16.538996
54.0,2.0,16.335142
54.0,3.0,16.14955
54.0,4.0,16.001183
54.0,5.0,15.887119
54.0,6.0,15.783911
54.0,7.0,15.677136
54.0,8.0,15.593597
54.0,9.0,15.566276
54.0,10.0,15.592419
54.0,11.0,15.616685
54.0,12.0,15.547382
54.0,13.0,15.2908945
54.0,14.0,14.800782
55.0,0.0,13.758491
55.0,1.0,13.864572
55.0,2.0,14.139016
55.0,3.0,14.476274
55.0,4.0,14.808412
55.0,5.0,15.155673
55.0,6.0,15.586571
55.0,7.0,16.184294
55.0,8.0,17.005812
55.0,9.0,17.75746
55.0,10.0,17.87634
55.0,11.0,17.096153
55.0,12.0,15.694563
55.0,13.0,14.155256
55.0,14.0,12.795846
56.00000000000001,0.0,17.424646
56.00000000000001,1.0,17.261065
56.00000000000001,2.0,16.716434
56.00000000000001,3.0,15.859525
56.00000000000001,4.0,14.783258
56.00000000000001,5.0,13.573704
56.00000000000001,6.0,12.366176
56.00000000000001,7.0,11.32944
56.00000000000001,8.0,10.568289
56.00000000000001,9.0,10.126846
56.00000000000001,10.0,10.011454
56.00000000000001,11.0,10.23865
56.00000000000001,12.0,10.862124
56.00000000000001,13.0,11.867917
56.00000000000001,14.0,13.099006
57.00000000000001,0.0,8.125749
57.00000000000001,1.0,8.038359
57.00000000000001,2.0,7.7348037
57.00000000000001,3.0,7.280945
57.00000000000001,4.0,6.767639
57.00000000000001,5.0,6.2661057
57.00000000000001,6.0,5.836191
57.00000000000001,7.0,5.5223384
57.00000000000001,8.0,5.349619
57.00000000000001,9.0,5.335113
57.00000000000001,10.0,5.5070972
57.00000000000001,11.0,5.9094095
57.00000000000001,12.0,6.589477
57.00000000000001,13.0,7.576591
57.00000000000001,14.0,8.83003
58.0,0.0,1.9688303
58.0,1.0,1.847191
58.0,2.0,1.724667
58.0,3.0,1.6223584
58.0,4.0,1.5595909
58.0,5.0,1.5470322
58.0,6.0,1.5910091
58.0,7.0,1.7008339
58.0,8.0,1.8922046
58.0,9.0,2.1893783
58.0,10.0,2.6157973
58.0,11.0,3.1816816
58.0,12.0,3.902451
58.0,13.0,4.821611
58.0,14.0,5.94397
59.0,0.0,1.2250093
59.0,1.0,1.2529712
59.0,2.0,1.2460824
59.0,3.0,1.2030712
59.0,4.0,1.1355242
59.0,5.0,1.0606
59.0,6.0,0.9965284
59.0,7.0,0.9645633
59.0,8.0,0.9900792
59.0,9.0,1.1013719
59.0,10.0,1.3254665
59.0,11.0,1.6851418
59.0,12.0,2.2101512
59.0,13.0,2.9761193
59.0,14.0,4.0664253
60.0,0.0,0.4015831
60.0,1.0,0.46016297
60.0,2.0,0.5119503
60.0,3.0,0.54884744
60.0,4.0,0.56448805
60.0,5.0,0.55741984
60.0,6.0,0.5324918
60.0,7.0,0.49964634
60.0,8.0,0.4718327
60.0,9.0,0.46241334
60.0,10.0,0.4832687
60.0,11.0,0.54863673
60.0,12.0,0.681908
60.0,13.0,0.9181575
60.0,14.0,1.2811534
61.00000000000001,0.0,0.12989041
61.00000000000001,1.0,0.15486717
61.00000000000001,2.0,0.18072008
61.00000000000001,3.0,0.20624727
61.00000000000001,4.0,0.23061574
61.00000000000001,5.0,0.25333747
61.00000000000001,6.0,0.2742307
61.00000000000001,7.0,0.29348996
61.00000000000001,8.0,0.31143063
61.00000000000001,9.0,0.3277308
61.00000000000001,10.0,0.34118113
61.00000000000001,11.0,0.35305598
61.00000000000001,12.0,0.36646122
61.00000000000001,13.0,0.38003623
61.00000000000001,14.0,0.39603895
62.00000000000001,0.0,0.022439085
62.00000000000001,1.0,0.028992768
62.00000000000001,2.0,0.03690255
62.00000000000001,3.0,0.04566793
62.00000000000001,4.0,0.05442543
62.00000000000001,5.0,0.062204976
62.00000000000001,6.0,0.06838821
62.00000000000001,7.0,0.07296213
62.00000000000001,8.0,0.07648017
62.00000000000001,9.0,0.08018489
62.00000000000001,10.0,0.085694194
62.00000000000001,11.0,0.09484971
62.00000000000001,12.0,0.10850359
62.00000000000001,13.0,0.12526143
62.00000000000001,14.0,0.1462178
63.0,0.0,0.0015308952
63.0,1.0,0.0020495802
63.0,2.0,0.0028178296
