Z_physical,A_physical,E_physical,E_norm,Yield_pred
26.0,67.0,2.0,0.22857142826163265,1.5768715e-06
26.0,67.0,3.0,0.24285714257316326,3.5799412e-06
26.0,67.0,4.0,0.2571428568846939,7.817241e-06
26.0,67.0,5.0,0.2714285711962245,1.5257865e-05
26.0,67.0,6.0,0.28571428550775513,2.5873282e-05
26.0,67.0,7.0,0.2999999998192857,3.7648588e-05
26.0,67.0,8.0,0.31428571413081635,5.1627587e-05
26.0,67.0,9.0,0.328571428442347,7.6631666e-05
26.0,67.0,10.0,0.3428571427538776,0.00013474675
26.0,67.0,11.0,0.35714285706540816,0.00023566635
26.0,67.0,12.0,0.3714285713769388,0.00034632007
26.0,67.0,13.0,0.38571428568846944,0.00042254353
26.0,67.0,14.0,0.4,0.0004881343
26.0,68.00000002,0.0,0.19999999963857143,1.5468768e-07
26.0,68.00000002,1.0,0.21428571395010204,2.869276e-07
26.0,68.00000002,2.0,0.22857142826163265,7.4083215e-07
26.0,68.00000002,3.0,0.24285714257316326,1.7059642e-06
26.0,68.00000002,4.0,0.2571428568846939,3.028162e-06
26.0,68.00000002,5.0,0.2714285711962245,5.2011114e-06
26.0,68.00000002,6.0,0.28571428550775513,1.0554775e-05
26.0,68.00000002,7.0,0.2999999998192857,2.395697e-05
26.0,68.00000002,8.0,0.31428571413081635,5.0505525e-05
26.0,68.00000002,9.0,0.328571428442347,8.801767e-05
26.0,68.00000002,10.0,0.3428571427538776,0.00012054253
26.0,68.00000002,11.0,0.35714285706540816,0.0001447257
26.0,68.00000002,12.0,0.3714285713769388,0.00021028076
26.0,68.00000002,13.0,0.38571428568846944,0.00030530835
26.0,68.00000002,14.0,0.4,0.00042846412
26.0,69.00000004,0.0,0.19999999963857143,2.2450193e-08
26.0,69.00000004,1.0,0.21428571395010204,3.5109743e-08
26.0,69.00000004,2.0,0.22857142826163265,6.211514e-08
26.0,69.00000004,3.0,0.24285714257316326,1.0616199e-07
26.0,69.00000004,4.0,0.2571428568846939,1.7549226e-07
26.0,69.00000004,5.0,0.2714285711962245,3.249912e-07
26.0,69.00000004,6.0,0.28571428550775513,7.0317304e-07
26.0,69.00000004,7.0,0.2999999998192857,1.5670164e-06
26.0,69.00000004,8.0,0.31428571413081635,3.2036965e-06
26.0,69.00000004,9.0,0.328571428442347,5.7435936e-06
26.0,69.00000004,10.0,0.3428571427538776,8.837978e-06
26.0,69.00000004,11.0,0.35714285706540816,1.3040552e-05
26.0,69.00000004,12.0,0.3714285713769388,2.1981288e-05
26.0,69.00000004,13.0,0.38571428568846944,3.473375e-05
26.0,69.00000004,14.0,0.4,5.364022e-05
26.0,70.0,0.0,0.19999999963857143,1.427089e-08
26.0,70.0,1.0,0.21428571395010204,1.8437078e-08
26.0,70.0,2.0,0.22857142826163265,2.4972229e-08
26.0,70.0,3.0,0.24285714257316326,3.6272223e-08
26.0,70.0,4.0,0.2571428568846939,5.7499438e-08
26.0,70.0,5.0,0.2714285711962245,9.916359e-08
26.0,70.0,6.0,0.28571428550775513,1.7889968e-07
26.0,70.0,7.0,0.2999999998192857,3.332458e-07
26.0,70.0,8.0,0.31428571413081635,6.5477894e-07
26.0,70.0,9.0,0.328571428442347,1.3437647e-06
26.0,70.0,10.0,0.3428571427538776,2.6636944e-06
26.0,70.0,11.0,0.35714285706540816,4.746684e-06
26.0,70.0,12.0,0.3714285713769388,7.59642e-06
26.0,70.0,13.0,0.38571428568846944,1.1735754e-05
26.0,70.0,14.0,0.4,1.7566234e-05
26.0,71.00000002000002,0.0,0.19999999963857143,5.4274105e-09
26.0,71.00000002000002,1.0,0.21428571395010204,7.7244335e-09
26.0,71.00000002000002,2.0,0.22857142826163265,1.2650599e-08
26.0,71.00000002000002,3.0,0.24285714257316326,2.3630957e-08
26.0,71.00000002000002,4.0,0.2571428568846939,4.6571618e-08
26.0,71.00000002000002,5.0,0.2714285711962245,8.8060595e-08
26.0,71.00000002000002,6.0,0.28571428550775513,1.5926159e-07
26.0,71.00000002000002,7.0,0.2999999998192857,2.7555367e-07
26.0,71.00000002000002,8.0,0.31428571413081635,4.5273794e-07
26.0,71.00000002000002,9.0,0.328571428442347,7.132991e-07
26.0,71.00000002000002,10.0,0.3428571427538776,1.0808452e-06
26.0,71.00000002000002,11.0,0.35714285706540816,1.5695719e-06
26.0,71.00000002000002,12.0,0.3714285713769388,2.2304084e-06
26.0,71.00000002000002,13.0,0.38571428568846944,3.2426774e-06
26.0,71.00000002000002,14.0,0.4,4.6757827e-06
26.0,71.99999998000001,0.0,0.19999999963857143,3.3016295e-10
26.0,71.99999998000001,1.0,0.21428571395010204,6.4629274e-10
26.0,71.99999998000001,2.0,0.22857142826163265,1.2320801e-09
26.0,71.99999998000001,3.0,0.24285714257316326,2.259545e-09
26.0,71.99999998000001,4.0,0.2571428568846939,4.1623385e-09
26.0,71.99999998000001,5.0,0.2714285711962245,8.761225e-09
26.0,71.99999998000001,6.0,0.28571428550775513,2.1346176e-08
26.0,71.99999998000001,7.0,0.2999999998192857,5.037543e-08
26.0,71.99999998000001,8.0,0.31428571413081635,1.002591e-07
26.0,71.99999998000001,9.0,0.328571428442347,1.7322671e-07
26.0,71.99999998000001,10.0,0.3428571427538776,3.0720778e-07
26.0,71.99999998000001,11.0,0.35714285706540816,5.6612913e-07
26.0,71.99999998000001,12.0,0.3714285713769388,8.959021e-07
26.0,71.99999998000001,13.0,0.38571428568846944,1.1810125e-06
26.0,71.99999998000001,14.0,0.4,1.4993424e-06
26.0,73.00000000000001,0.0,0.19999999963857143,3.534504e-11
26.0,73.00000000000001,1.0,0.21428571395010204,6.1917436e-11
26.0,73.00000000000001,2.0,0.22857142826163265,1.2531988e-10
26.0,73.00000000000001,3.0,0.24285714257316326,2.9952132e-10
26.0,73.00000000000001,4.0,0.2571428568846939,8.093461e-10
26.0,73.00000000000001,5.0,0.2714285711962245,1.5815317e-09
26.0,73.00000000000001,6.0,0.28571428550775513,2.7342915e-09
26.0,73.00000000000001,7.0,0.2999999998192857,5.0213482e-09
26.0,73.00000000000001,8.0,0.31428571413081635,1.06962545e-08
26.0,73.00000000000001,9.0,0.328571428442347,2.0766901e-08
26.0,73.00000000000001,10.0,0.3428571427538776,3.0524557e-08
26.0,73.00000000000001,11.0,0.35714285706540816,3.839383e-08
26.0,73.00000000000001,12.0,0.3714285713769388,4.2266116e-08
26.0,73.00000000000001,13.0,0.38571428568846944,3.8365506e-08
26.0,73.00000000000001,14.0,0.4,3.3707607e-08
26.0,74.00000002,0.0,0.19999999963857143,1.275905e-11
26.0,74.00000002,1.0,0.21428571395010204,1.5707142e-11
26.0,74.00000002,2.0,0.22857142826163265,2.0928937e-11
26.0,74.00000002,3.0,0.24285714257316326,2.9260507e-11
26.0,74.00000002,4.0,0.2571428568846939,4.2030483e-11
26.0,74.00000002,5.0,0.2714285711962245,6.348522e-11
26.0,74.00000002,6.0,0.28571428550775513,1.1518483e-10
26.0,74.00000002,7.0,0.2999999998192857,3.0619285e-10
26.0,74.00000002,8.0,0.31428571413081635,1.1909197e-09
26.0,74.00000002,9.0,0.328571428442347,2.885675e-09
26.0,74.00000002,10.0,0.3428571427538776,3.3086094e-09
26.0,74.00000002,11.0,0.35714285706540816,3.5535244e-09
26.0,74.00000002,12.0,0.3714285713769388,5.6147558e-09
26.0,74.00000002,13.0,0.38571428568846944,6.1106307e-09
26.0,74.00000002,14.0,0.4,4.1346473e-09
26.0,74.99999998,0.0,0.19999999963857143,4.076664e-12
26.0,74.99999998,1.0,0.21428571395010204,2.9961864e-12
26.0,74.99999998,2.0,0.22857142826163265,2.5659112e-12
26.0,74.99999998,3.0,0.24285714257316326,2.8282292e-12
26.0,74.99999998,4.0,0.2571428568846939,3.954144e-12
26.0,74.99999998,5.0,0.2714285711962245,6.361768e-12
26.0,74.99999998,6.0,0.28571428550775513,1.0907365e-11
26.0,74.99999998,7.0,0.2999999998192857,1.9139678e-11
26.0,74.99999998,8.0,0.31428571413081635,3.425838e-11
26.0,74.99999998,9.0,0.328571428442347,6.588569e-11
26.0,74.99999998,10.0,0.3428571427538776,1.3741153e-10
