Z,A,E,Yield,N,Z_parity,N_parity,parity_product,parity_category,Z_magic_prox,N_magic_prox,Z_magic_dist,N_magic_dist,Z_shell_closure,N_shell_closure,any_shell_closure,N_over_Z,symmetry_energy,mass_excess
-0.75,0.342857143,0.001314908,0.000910245,1.092857143,1.25,1.092857143,1.36607142875,OE,0.38862789708956014,0.9048208018745428,2.75,0.907142857,0,1,1,-1.4571428573352763,2.4763392850664068,1.842857143
-0.733333333,0.342857143,0.00137141,0.000760454,1.076190476,1.266666667,1.076190476,1.3631746032920635,OE,0.39309467225021905,0.9013127224444525,2.733333333,0.9238095239999999,0,1,1,-1.4675324679417887,2.3875661351890436,1.809523809
-0.733333333,0.342857143,0.0010801,0.000760454,1.076190476,1.266666667,1.076190476,1.3631746032920635,OE,0.39309467225021905,0.9013127224444525,2.733333333,0.9238095239999999,0,1,1,-1.4675324679417887,2.3875661351890436,1.809523809
-0.733333333,0.342857143,0.00116493,0.000760454,1.076190476,1.266666667,1.076190476,1.3631746032920635,OE,0.39309467225021905,0.9013127224444525,2.733333333,0.9238095239999999,0,1,1,-1.4675324679417887,2.3875661351890436,1.809523809
-0.716666667,0.342857143,0.001039157,0.000764153,1.05952381,1.2833333329999999,1.05952381,1.3597222224801586,OE,0.3975852216380728,0.8977574487346656,2.716666667,0.94047619,0,1,1,-1.4784053155935022,2.300413360926746,1.776190477
-0.716666667,0.342857143,0.001094352,0.000764153,1.05952381,1.2833333329999999,1.05952381,1.3597222224801586,OE,0.3975852216380728,0.8977574487346656,2.716666667,0.94047619,0,1,1,-1.4784053155935022,2.300413360926746,1.776190477
-0.716666667,0.342857143,0.001036559,0.000764153,1.05952381,1.2833333329999999,1.05952381,1.3597222224801586,OE,0.3975852216380728,0.8977574487346656,2.716666667,0.94047619,0,1,1,-1.4784053155935022,2.300413360926746,1.776190477
-0.7,0.342857143,0.000610491,0.00055527,1.042857143,1.3,1.042857143,1.3557142859,OE,0.4020991923632704,0.8941556090936912,2.7,0.957142857,0,1,1,-1.489795918573557,2.2148809518211805,1.742857143
-0.7,0.342857143,0.000599036,0.00055527,1.042857143,1.3,1.042857143,1.3557142859,OE,0.4020991923632704,0.8941556090936912,2.7,0.957142857,0,1,1,-1.489795918573557,2.2148809518211805,1.742857143
-0.7,0.342857143,0.000526315,0.00055527,1.042857143,1.3,1.042857143,1.3557142859,OE,0.4020991923632704,0.8941556090936912,2.7,0.957142857,0,1,1,-1.489795918573557,2.2148809518211805,1.742857143
-0.683333333,0.342857143,0.000458539,0.000496571,1.026190476,1.316666667,1.026190476,1.3511507937420635,OE,0.4066362218742823,0.8905078408308275,2.683333333,0.973809524,0,1,1,-1.5017421607347547,2.1309689131501255,1.709523809
-0.683333333,0.342857143,0.000471346,0.000496571,1.026190476,1.316666667,1.026190476,1.3511507937420635,OE,0.4066362218742823,0.8905078408308275,2.683333333,0.973809524,0,1,1,-1.5017421607347547,2.1309689131501255,1.709523809
-0.683333333,0.342857143,0.00054634,0.000496571,1.026190476,1.316666667,1.026190476,1.3511507937420635,OE,0.4066362218742823,0.8905078408308275,2.683333333,0.973809524,0,1,1,-1.5017421607347547,2.1309689131501255,1.709523809
-0.666666667,0.342857143,0.000127771,0.000124143,1.00952381,1.3333333330000001,1.00952381,1.3460317463301588,OE,0.4111959387629985,0.8868147893572106,2.666666667,0.9904761900000001,0,1,1,-1.5142857142451285,2.048677249802469,1.676190477
-0.666666667,0.342857143,0.000101748,0.000124143,1.00952381,1.3333333330000001,1.00952381,1.3460317463301588,OE,0.4111959387629985,0.8868147893572106,2.666666667,0.9904761900000001,0,1,1,-1.5142857142451285,2.048677249802469,1.676190477
-0.666666667,0.342857143,0.00012753,0.000124143,1.00952381,1.3333333330000001,1.00952381,1.3460317463301588,OE,0.4111959387629985,0.8868147893572106,2.666666667,0.9904761900000001,0,1,1,-1.5142857142451285,2.048677249802469,1.676190477
-0.65,0.342857143,3.09e-05,3.09e-05,0.9928571429999999,1.35,0.9928571429999999,1.34035714305,OE,0.4157779635979132,0.8830771072757119,2.65,1.007142857,0,1,1,-1.5274725276946575,1.9680059519032123,1.642857143
-0.8,0.342857143,0.0,0.0,1.142857143,1.2,1.142857143,1.3714285716,OE,0.3753736203551744,0.9150557148920059,2.8,0.8571428569999999,0,1,1,-1.4285714287517857,2.7523809516388895,1.9428571430000001
-0.783333333,0.342857143,4.63e-05,3.66e-05,1.1261904759999999,1.2166666670000001,1.1261904759999999,1.3701984128420635,OE,0.3797670399730623,0.9116929049353889,2.783333333,0.8738095240000001,0,1,1,-1.4376899699753203,2.658746690555218,1.909523809
-0.766666667,0.342857143,0.000430541,0.000351028,1.10952381,1.233333333,1.10952381,1.3684126986301588,OE,0.3841852410010271,0.9082810665870141,2.766666667,0.89047619,0,1,1,-1.4472049689378854,2.5667328053782796,1.876190477
-0.766666667,0.342857143,0.000417473,0.000351028,1.10952381,1.233333333,1.10952381,1.3684126986301588,OE,0.3841852410010271,0.9082810665870141,2.766666667,0.89047619,0,1,1,-1.4472049689378854,2.5667328053782796,1.876190477
-0.766666667,0.342857143,0.000475174,0.000351028,1.10952381,1.233333333,1.10952381,1.3684126986301588,OE,0.3841852410010271,0.9082810665870141,2.766666667,0.89047619,0,1,1,-1.4472049689378854,2.5667328053782796,1.876190477
-0.75,0.342857143,0.001107131,0.000515525,1.092857143,1.25,1.092857143,1.36607142875,OE,0.38862789708956014,0.9048208018745428,2.75,0.907142857,0,1,1,-1.4571428573352763,2.4763392850664068,1.842857143
-0.75,0.342857143,0.001097123,0.000515525,1.092857143,1.25,1.092857143,1.36607142875,OE,0.38862789708956014,0.9048208018745428,2.75,0.907142857,0,1,1,-1.4571428573352763,2.4763392850664068,1.842857143
-0.75,0.342857143,0.000919426,0.000515525,1.092857143,1.25,1.092857143,1.36607142875,OE,0.38862789708956014,0.9048208018745428,2.75,0.907142857,0,1,1,-1.4571428573352763,2.4763392850664068,1.842857143
-0.733333333,0.342857143,0.004219675,0.001655937,1.076190476,1.266666667,1.076190476,1.3631746032920635,OE,0.39309467225021905,0.9013127224444525,2.733333333,0.9238095239999999,0,1,1,-1.4675324679417887,2.3875661351890436,1.809523809
-0.733333333,0.342857143,0.004498558,0.001655937,1.076190476,1.266666667,1.076190476,1.3631746032920635,OE,0.39309467225021905,0.9013127224444525,2.733333333,0.9238095239999999,0,1,1,-1.4675324679417887,2.3875661351890436,1.809523809
-0.733333333,0.342857143,0.004779099,0.001655937,1.076190476,1.266666667,1.076190476,1.3631746032920635,OE,0.39309467225021905,0.9013127224444525,2.733333333,0.9238095239999999,0,1,1,-1.4675324679417887,2.3875661351890436,1.809523809
-0.716666667,0.342857143,0.004866015,0.00193773,1.05952381,1.2833333329999999,1.05952381,1.3597222224801586,OE,0.3975852216380728,0.8977574487346656,2.716666667,0.94047619,0,1,1,-1.4784053155935022,2.300413360926746,1.776190477
-0.716666667,0.342857143,0.005016028,0.00193773,1.05952381,1.2833333329999999,1.05952381,1.3597222224801586,OE,0.3975852216380728,0.8977574487346656,2.716666667,0.94047619,0,1,1,-1.4784053155935022,2.300413360926746,1.776190477
-0.716666667,0.342857143,0.004545478,0.00193773,1.05952381,1.2833333329999999,1.05952381,1.3597222224801586,OE,0.3975852216380728,0.8977574487346656,2.716666667,0.94047619,0,1,1,-1.4784053155935022,2.300413360926746,1.776190477
-0.7,0.342857143,0.008496121,0.002759943,1.042857143,1.3,1.042857143,1.3557142859,OE,0.4020991923632704,0.8941556090936912,2.7,0.957142857,0,1,1,-1.489795918573557,2.2148809518211805,1.742857143
-0.7,0.342857143,0.010434652,0.002759943,1.042857143,1.3,1.042857143,1.3557142859,OE,0.4020991923632704,0.8941556090936912,2.7,0.957142857,0,1,1,-1.489795918573557,2.2148809518211805,1.742857143
