A_physical,E_physical,Yield_pred
77.99999998000001,3.0,0.0472567
77.99999998000001,4.0,0.06975004
77.99999998000001,5.0,0.09550845
77.99999998000001,6.0,0.12789017
77.99999998000001,7.0,0.16629435
77.99999998000001,8.0,0.20645916
77.99999998000001,9.0,0.24364294
77.99999998000001,10.0,0.2767934
77.99999998000001,11.0,0.3076393
77.99999998000001,12.0,0.3378724
77.99999998000001,13.0,0.36418244
77.99999998000001,14.0,0.3769654
79.00000000000001,0.0,0.035016507
79.00000000000001,1.0,0.0452035
79.00000000000001,2.0,0.060037807
79.00000000000001,3.0,0.081714824
79.00000000000001,4.0,0.10716279
79.00000000000001,5.0,0.13715878
79.00000000000001,6.0,0.17898414
79.00000000000001,7.0,0.2366593
79.00000000000001,8.0,0.3045882
79.00000000000001,9.0,0.37579495
79.00000000000001,10.0,0.43711448
79.00000000000001,11.0,0.4791059
79.00000000000001,12.0,0.4979631
79.00000000000001,13.0,0.49397725
79.00000000000001,14.0,0.47053695
80.00000002000002,0.0,0.07441009
80.00000002000002,1.0,0.10420193
80.00000002000002,2.0,0.14134139
80.00000002000002,3.0,0.18202755
80.00000002000002,4.0,0.22936118
80.00000002000002,5.0,0.27918926
80.00000002000002,6.0,0.3260292
80.00000002000002,7.0,0.36714172
80.00000002000002,8.0,0.40121213
80.00000002000002,9.0,0.42745134
80.00000002000002,10.0,0.44593525
80.00000002000002,11.0,0.4554966
80.00000002000002,12.0,0.45520195
80.00000002000002,13.0,0.44508705
80.00000002000002,14.0,0.42618626
80.99999998,0.0,0.117000975
80.99999998,1.0,0.15900484
80.99999998,2.0,0.20515251
80.99999998,3.0,0.25391945
80.99999998,4.0,0.30658424
80.99999998,5.0,0.36649016
80.99999998,6.0,0.43257263
80.99999998,7.0,0.4976137
80.99999998,8.0,0.5525506
80.99999998,9.0,0.5918609
80.99999998,10.0,0.6128019
80.99999998,11.0,0.61351985
80.99999998,12.0,0.5931645
80.99999998,13.0,0.55454993
80.99999998,14.0,0.5050487
82.0,0.0,0.29139313
82.0,1.0,0.37670594
82.0,2.0,0.4796976
82.0,3.0,0.6099947
82.0,4.0,0.7374602
82.0,5.0,0.84016126
82.0,6.0,0.91811794
82.0,7.0,0.9723363
82.0,8.0,0.99713
82.0,9.0,0.98973036
82.0,10.0,0.955737
