Z_physical,E_physical,Yield_pred
59.0,6.0,1.7906379
59.0,7.0,1.8085171
59.0,8.0,1.8019028
59.0,9.0,1.7928106
59.0,10.0,1.79901
59.0,11.0,1.8286861
59.0,12.0,1.8728564
59.0,13.0,1.9130088
59.0,14.0,1.9342844
60.0,0.0,0.25674158
60.0,1.0,0.32803446
60.0,2.0,0.41761944
60.0,3.0,0.51873624
60.0,4.0,0.62075853
60.0,5.0,0.71033365
60.0,6.0,0.77523214
60.0,7.0,0.80788106
60.0,8.0,0.807966
60.0,9.0,0.7836732
60.0,10.0,0.7477377
60.0,11.0,0.70957816
60.0,12.0,0.67360264
60.0,13.0,0.6436514
60.0,14.0,0.62364215
61.00000000000001,0.0,0.059251577
61.00000000000001,1.0,0.07196512
61.00000000000001,2.0,0.08519206
61.00000000000001,3.0,0.098410174
61.00000000000001,4.0,0.1115551
61.00000000000001,5.0,0.12539601
61.00000000000001,6.0,0.14159156
61.00000000000001,7.0,0.16161239
61.00000000000001,8.0,0.18615714
61.00000000000001,9.0,0.21557926
61.00000000000001,10.0,0.25017294
61.00000000000001,11.0,0.2900403
61.00000000000001,12.0,0.33552322
61.00000000000001,13.0,0.38690928
61.00000000000001,14.0,0.44456163
62.00000000000001,0.0,0.007488544
62.00000000000001,1.0,0.009825631
62.00000000000001,2.0,0.012768712
62.00000000000001,3.0,0.016451074
62.00000000000001,4.0,0.02077594
62.00000000000001,5.0,0.025349952
62.00000000000001,6.0,0.029726798
62.00000000000001,7.0,0.033654857
62.00000000000001,8.0,0.037501283
62.00000000000001,9.0,0.042246833
62.00000000000001,10.0,0.048887063
62.00000000000001,11.0,0.058404054
62.00000000000001,12.0,0.07198196
62.00000000000001,13.0,0.0908545
62.00000000000001,14.0,0.11695457
63.0,0.0,0.00077987585
63.0,1.0,0.0010813299
63.0,2.0,0.0014879187
63.0,3.0,0.0020471336
63.0,4.0,0.0027825057
63.0,5.0,0.003689056
63.0,6.0,0.0047513675
63.0,7.0,0.005971318
63.0,8.0,0.007390988
63.0,9.0,0.009151855
63.0,10.0,0.011457105
63.0,11.0,0.014536393
63.0,12.0,0.018671552
63.0,13.0,0.024080215
63.0,14.0,0.030786034
64.0,0.0,4.7320682e-05
64.0,1.0,6.939107e-05
64.0,2.0,0.000102025704
64.0,3.0,0.00014856594
64.0,4.0,0.00021843788
64.0,5.0,0.00032767857
64.0,6.0,0.00048739446
64.0,7.0,0.00071441015
64.0,8.0,0.0010464925
64.0,9.0,0.0015313493
64.0,10.0,0.0022056652
64.0,11.0,0.00307753
64.0,12.0,0.0041367747
64.0,13.0,0.005392881
64.0,14.0,0.0068806875
65.0,0.0,2.0158818e-06
65.0,1.0,3.690361e-06
65.0,2.0,6.95496e-06
65.0,3.0,1.347163e-05
65.0,4.0,2.6456151e-05
65.0,5.0,5.002174e-05
65.0,6.0,9.3111215e-05
65.0,7.0,0.00016678647
65.0,8.0,0.00028450563
65.0,9.0,0.0004678681
65.0,10.0,0.00073299307
65.0,11.0,0.0010792577
65.0,12.0,0.0014929718
65.0,13.0,0.0019640592
65.0,14.0,0.0024764277
66.0,0.0,1.6835229e-07
66.0,1.0,3.626216e-07
66.0,2.0,7.367004e-07
66.0,3.0,1.5175671e-06
66.0,4.0,3.087031e-06
66.0,5.0,5.9984773e-06
66.0,6.0,1.1069466e-05
66.0,7.0,1.9811989e-05
66.0,8.0,3.356683e-05
66.0,9.0,5.481932e-05
66.0,10.0,8.843621e-05
66.0,11.0,0.00013827063
66.0,12.0,0.0002104802
66.0,13.0,0.00031982097
66.0,14.0,0.00047608613
67.00000000000001,0.0,1.1598791e-08
67.00000000000001,1.0,2.1443064e-08
67.00000000000001,2.0,4.2395133e-08
67.00000000000001,3.0,8.2130846e-08
67.00000000000001,4.0,1.7768879e-07
67.00000000000001,5.0,4.1877036e-07
67.00000000000001,6.0,9.5098676e-07
67.00000000000001,7.0,2.1564904e-06
67.00000000000001,8.0,4.8695547e-06
67.00000000000001,9.0,1.0760879e-05
67.00000000000001,10.0,2.1845453e-05
67.00000000000001,11.0,4.37871e-05
67.00000000000001,12.0,8.071695e-05
67.00000000000001,13.0,0.00014091509
67.00000000000001,14.0,0.00023708651
68.0,0.0,1.8172751e-09
68.0,1.0,3.0469902e-09
68.0,2.0,6.158187e-09
68.0,3.0,1.3619646e-08
68.0,4.0,2.7834087e-08
68.0,5.0,5.959428e-08
68.0,6.0,1.336776e-07
68.0,7.0,2.9107102e-07
68.0,8.0,6.1221704e-07
68.0,9.0,1.27781e-06
68.0,10.0,2.662871e-06
68.0,11.0,5.5077644e-06
68.0,12.0,1.0965562e-05
68.0,13.0,2.1250667e-05
68.0,14.0,4.053563e-05
69.0,0.0,8.5945764e-12
69.0,1.0,2.5482517e-11
69.0,2.0,5.6200034e-11
69.0,3.0,1.178551e-10
69.0,4.0,2.5556116e-10
69.0,5.0,5.8476723e-10
69.0,6.0,1.3706699e-09
69.0,7.0,3.1356535e-09
69.0,8.0,6.652699e-09
69.0,9.0,1.3984406e-08
69.0,10.0,3.2042553e-08
69.0,11.0,7.17355e-08
69.0,12.0,1.9985664e-07
69.0,13.0,5.215405e-07
69.0,14.0,1.4224433e-06
70.0,0.0,-1.09679175e-11
70.0,1.0,-5.3976923e-12
70.0,2.0,5.850984e-13
70.0,3.0,7.429056e-12
70.0,4.0,1.7457697e-11
70.0,5.0,3.656483e-11
70.0,6.0,7.631256e-11
70.0,7.0,1.6016866e-10
70.0,8.0,3.3905853e-10
70.0,9.0,7.1725226e-10
70.0,10.0,1.4423494e-09
70.0,11.0,2.6099156e-09
70.0,12.0,4.435023e-09
70.0,13.0,7.731664e-09
70.0,14.0,1.3765198e-08
71.0,0.0,-3.3910821e-12
71.0,1.0,-3.3290033e-12
71.0,2.0,-3.4607892e-12
71.0,3.0,-3.813226e-12
71.0,4.0,-4.2147414e-12
71.0,5.0,-4.4570506e-12
71.0,6.0,-4.489154e-12
71.0,7.0,-4.325737e-12
71.0,8.0,-3.8747213e-12
71.0,9.0,-2.8749188e-12
71.0,10.0,-7.1199893e-13
71.0,11.0,3.8401123e-12
71.0,12.0,1.1507022e-11
71.0,13.0,2.1012955e-11
71.0,14.0,2.952326e-11
