Z,A,E,Yield,Error,N,Z_parity,N_parity,parity_product,parity_category,Z_magic_prox,N_magic_prox,Z_magic_dist,N_magic_dist,Z_shell_closure,N_shell_closure,any_shell_closure,N_over_Z,symmetry_energy,mass_excess
-0.7125,-0.666666667,0.2,1.7e-09,8.46e-12,0.04583333300000003,1.2875,0.04583333300000003,0.059010416237500044,OE,0.398711532662181,0.6207954438877389,2.7125,1.954166667,0,1,1,-0.06432748491237103,-0.21565104136925783,0.758333333
-0.7125,-0.65,0.2,0.0,0.0,0.0625,1.2875,0.0625,0.08046875,OE,0.398711532662181,0.6258584689866125,2.7125,1.9375,0,1,1,-0.08771929824573714,-0.2310096153846154,0.775
-0.7125,-0.633333333,0.2,8.79e-14,4.39e-16,0.07916666699999997,1.2875,0.07916666699999997,0.10192708376249997,OE,0.398711532662181,0.63091921054072,2.7125,1.920833333,0,1,1,-0.11111111157910326,-0.24739583367187498,0.791666667
-0.7125,-0.616666667,0.2,0.0,0.0,0.09583333300000008,1.2875,0.09583333300000008,0.1233854162375001,OE,0.398711532662181,0.6359769540347815,2.7125,1.904166667,0,1,1,-0.13450292350896081,-0.26489301765636425,0.8083333330000001
-0.7125,-0.6,0.2,0.0,0.0,0.11250000000000004,1.2875,0.11250000000000004,0.14484375000000008,OE,0.398711532662181,0.6410309810384256,2.7125,1.8875,0,1,1,-0.1578947368423269,-0.2835937500000001,0.8250000000000001
-0.675,-0.866666667,0.2,1.3e-12,6.49e-15,-0.1916666669999999,1.325,1.8083333330000002,2.3960416662250004,OE,0.4089132679039435,0.5488058491050118,2.675,2.191666667,0,0,0,0.28395061777819824,-0.06738782039395344,0.48333333300000014
-0.675,-0.85,0.2,1.53e-10,1.64e-12,-0.17499999999999993,1.325,1.8250000000000002,2.4181250000000003,OE,0.4089132679039435,0.5538270507794311,2.675,2.175,0,0,0,0.2592592592596432,-0.07352941176470591,0.5000000000000001
-0.675,-0.833333333,0.2,1.67e-09,1.49e-11,-0.15833333299999997,1.325,1.8416666670000001,2.4402083337750002,OE,0.4089132679039435,0.5588555307605692,2.675,2.158333333,0,0,0,0.2345679007410882,-0.08008333346870002,0.5166666670000001
-0.675,-0.816666666,0.2,2.59e-08,2.69e-10,-0.141666666,1.325,1.8583333340000001,2.46229166755,OE,0.4089132679039435,0.5638906600582714,2.675,2.141666666,0,0,0,0.20987654222253313,-0.08707483022074138,0.533333334
-0.675,-0.8,0.2,7.16e-08,5e-10,-0.125,1.325,1.875,2.484375,OE,0.4089132679039435,0.5689318025033409,2.675,2.125,0,0,0,0.1851851851854595,-0.09453125000000001,0.55
-0.675,-0.783333333,0.2,4.23e-07,3.88e-09,-0.10833333299999992,1.325,1.891666667,2.506458333775,OE,0.4089132679039435,0.5739783160786941,2.675,2.108333333,0,0,0,0.16049382666690432,-0.102482269667723,0.5666666670000001
-0.675,-0.766666667,0.2,1.4e-06,1.17e-08,-0.09166666699999992,1.325,1.908333333,2.528541666225,OE,0.4089132679039435,0.5790295509257694,2.675,2.091666667,0,0,0,0.1358024696298307,-0.11096014475248114,0.5833333330000001
-0.675,-0.75,0.2,1.12e-05,2.17e-08,-0.07499999999999996,1.325,1.925,2.550625,OE,0.4089132679039435,0.5840848518947038,2.675,2.075,0,0,0,0.11111111111127564,-0.12000000000000004,0.6000000000000001
-0.675,-0.733333333,0.2,4.23e-06,1.53e-08,-0.05833333299999999,1.325,1.941666667,2.572708333775,OE,0.4089132679039435,0.5891435565550971,2.675,2.058333333,0,0,0,0.0864197525927206,-0.1296401517142304,0.6166666670000001
-0.675,-0.716666667,0.2,1.38e-05,4.9e-08,-0.04166666699999999,1.325,1.9583333330000001,2.594791666225,OE,0.4089132679039435,0.5942049962393863,2.675,2.041666667,0,0,0,0.061728395555646985,-0.139922480407788,0.633333333
-0.675,-0.7,0.2,4.54e-06,1.28e-08,-0.02499999999999991,1.325,1.975,2.616875,OE,0.4089132679039435,0.5992684970933813,2.675,2.025,0,0,0,0.03703703703709177,-0.15089285714285722,0.6500000000000001
-0.675,-0.683333333,0.2,4.66e-06,1.63e-08,-0.008333332999999943,1.325,1.991666667,2.6389583337749998,OE,0.4089132679039435,0.6043333783961037,2.675,2.008333333,0,0,0,0.012345678518536723,-0.1626016262581797,0.6666666670000001
-0.675,-0.666666667,0.2,2.97e-06,9.97e-09,0.008333333000000054,1.325,0.008333333000000054,0.011041666225000071,OE,0.4089132679039435,0.6093989536159252,2.675,1.991666667,0,1,1,-0.012345678518536888,-0.1751041664082813,0.6833333330000001
